id,rank,name,position,school,pts,reb,ast,imputed,potential,risk,notes,avatar_url,source_url
matthew-able,55,Matthew Able,SF,NC State,8.80,3.40,0.90,0,1.15,NBA Ready,NC State · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5196877.png,https://www.espn.com/mens-college-basketball/player/_/id/5196877/matt-able
malachi-moreno,56,Malachi Moreno,C,Kentucky,7.80,6.30,1.80,0,1.15,NBA Ready,Kentucky · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5101849.png,https://www.espn.com/mens-college-basketball/player/_/id/5101849/malachi-moreno
ugonna-onyenso,57,Ugonna Onyenso,C,Virginia,6.50,4.90,0.60,0,1.15,NBA Ready,Virginia · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5037878.png,https://www.espn.com/mens-college-basketball/player/_/id/5037878/ugonna-onyenso
bruce-thornton,58,Bruce Thornton,PG/SG,Ohio State,19.90,5.10,3.90,0,1.14,NBA Ready,Ohio State · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105837.png,https://www.espn.com/mens-college-basketball/player/_/id/5105837/bruce-thornton
tomislav-ivisic,59,Tomislav Ivisic,C,Illinois,10.40,5.60,1.60,0,1.14,NBA Ready,Illinois · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5214642.png,https://www.espn.com/mens-college-basketball/player/_/id/5214642/tomislav-ivisic
kylan-boswell,60,Kylan Boswell,PG/SG,Illinois,12.30,4.00,3.00,0,1.14,NBA Ready,Illinois · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684269.png,https://www.espn.com/mens-college-basketball/player/_/id/4684269/kylan-boswell
emanuel-sharp,61,Emanuel Sharp,SG,Houston,15.50,3.00,1.70,0,1.14,NBA Ready,Houston · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106058.png,https://www.espn.com/mens-college-basketball/player/_/id/5106058/emanuel-sharp
solo-ball,62,Solo Ball,SG,UConn,12.80,3.00,1.50,0,1.13,NBA Ready,UConn · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4895737.png,https://www.espn.com/mens-college-basketball/player/_/id/4895737/solo-ball
milos-uzan,63,Milos Uzan,PG,Houston,11.10,2.70,4.00,0,1.13,NBA Ready,Houston · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106272.png,https://www.espn.com/mens-college-basketball/player/_/id/5106272/milos-uzan
kj-lewis,64,KJ Lewis,SG,Georgetown,14.90,5.10,2.50,0,1.13,NBA Ready,Georgetown · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5174952.png,http://www.espn.com/mens-college-basketball/player/_/id/5174952/kj-lewis
